SID,which_video,Condition,Video,play_start_sec,play_stop,play_stop_sec,video_duration,video_duration_sec,verbalcue_start_sec,verbalcue_stop,comments,first event onset,last event offset
012017_01,m4v,exp,orchestra,0,0:3:14,194,0:4:01,241,12,,,0:0:14,0:3:14
012017_03,(2)mp4,con,mis_jugetes,0,0:3:38,218,0:3:42,222,NA,,,0:0:38,0:3:36
012017_04,(2)mp4,con,classificando,0,0:3:41,221,0:4:01,241,40,,,0:0:45,0:3:40
012017_05,m4v,exp,ruidos,0,0:3:12,192,0:3:35,215,10,,,0:0:14,0:3:02
012017_06,m4v,con,mis_jugetes,0,0:3:28,208,0:4:11,251,24,,,0:0:32,0:3:25
012017_07,m4v,con,a_recoger,4,0:3:39,219,0:4:04,244,34,,,0:0:39,0:3:39
032817_01,m4v,exp,give_me_toy,0,0:3:11,191,0:3:19,199,3,,,0:0:12,0:3:11
042416_01,(2)mp4,exp,ruidos,0,0:3:41,221,0:3:46,226,2,x,,0:0:41,0:3:39
042416_02,(2)mp4,exp,classificando,8,0:3:43,223,0:3:48,228,6,x,,0:0:42,0:3:40
042416_03,(2)mp4,exp,a_recoger,0,0:2:47,167,0:2:52,172,NA,x,,0:0:06,0:2:28
042416_04,(2)mp4,exp,give_me_toy,0,0:3:35,215,0:3:39,219,NA,x,,0:0:16,0:2:50
042416_05,2. m4v --NOT FOUND; I will use m4v,exp,ruidos,0,0:3:44,224,0:4:27,267,NA,x,,0:0:48,0:3:33
042716_01,"mp4 --NOT FOUND; I will use (2)mp4
",exp,classificando,0,0:3:27,207,0:3:32,212,NA,x,,,
050116_01,(2)mp4,exp,classificando,0,0:3:20,200,0:3:29,209,NA,x,start whenever you'd like,,
050116_02,mp4,exp,give_me_toy,0,0:4:18,258,0:4:24,264,NA,x,start whenever you'd like,,
050116_05,mp4 --NOT FOUND; I will use (2)mp4,exp,orchestra,0,0:4:07,247,0:4:13,253,NA,x,,,
052317_03,m4v,exp,give_me_toy,0,0:3:31,211,0:4:08,248,30,,,,
060516_01,(2)mp4,exp,classificando,0,0:3:37,217,0:3:42,222,NA,x,,,
060516_02,m4v,exp,orchestra,0,0:3:47,227,0:3:54,234,NA,x,,,
060516_03,m4v,con,give_me_toy,0,0:4:02,242,0:4:08,248,2,x,,,
091316_02,m4v,con,give_me_toy,0,0:3:12,192,0:3:19,199,NA,x,,,
091316_03,m4v,con,classificando,0,0:3:49,229,0:3:54,234,27,x,,,
091316_04,(2)mp4,con,mis_jugetes,15,0:3:54,234,0:10:08,608,33,x,,,
091316_05,m4v,con,ruidos,31,0:3:49,229,0:4:00,240,46,x,,,
092216_01,m4v,con,ruidos,23,0:3:24,204,0:3:30,210,NA,x,,,
092216_03,m4v,con,give_me_toy,45,0:4:01,241,0:4:06,246,56,x,,,
092216_04,m4v,con,ruidos,27,0:3:37,217,0:3:52,232,NA,x,,,
101416_01,m4v,con,ruidos,8,0:3:29,209,0:3:51,231,NA,,,,
101416_02,m4v,exp,ruidos,3,0:3:19,199,0:3:48,228,NA,,,,
101416_03,m4v,exp,ruidos,18,0:3:47,227,0:4:05,245,46,,,,
101416_04,m4v,exp,a_recoger,16,0:3:27,207,0:3:43,223,25,,,,
101416_05,,exp,a_recoger,16,0:3:25,205,0:3:34,214,27,,,,
101416_07,,exp,a_recoger,3,0:3:24,204,0:3:32,212,NA,,,,
101416_08,,exp,a_recoger,36,0:3:47,227,0:3:56,236,NA,,,,
101416_09,,exp,classificando,3,0:3:21,201,0:3:31,211,20,,,,
102816_01,,con,ruidos,2,0:3:47,227,0:4:03,243,44,,,,
110416_02,,con,orchestra,0,0:3:25,205,0:3:41,221,21,,,,
110416_03,,con,orchestra,0,0:3:32,212,0:3:48,228,5,,,,
110416_04,,con,a_recoger,64,0:5:02,302,0:5:09,309,118,,,,
110416_05,,con,mis_jugetes,42,0:3:53,233,0:4:14,254,52,,,,
110416_06,,con,a_recoger,66,0:4:03,243,0:4:18,258,63,,,,
110416_07,,con,a_recoger,14,0:3:45,225,0:3:56,236,38,,,,
110416_08,,con,a_recoger,0,0:3:17,197,0:3:53,233,13,,,,
111716_01,,con,orchestra,21,0:3:43,223,0:4:47,287,30,,"highlighted means unclear start, they say ""alrighty"" etc.",,
111716_02,,exp,give_me_toy,10,0:3:23,203,0:3:36,216,25,,,,
111716_04,,con,mis_jugetes,0,0:3:09,189,0:3:25,205,NA,,,,
111716_06,,con,orchestra,15,0:3:31,211,0:3:39,219,28,,,,
111716_07,,exp,mis_jugetes,0,0:3:35,215,0:3:52,232,34,,,,
111716_08,,exp,mis_jugetes,0,0:3:17,197,0:3:37,217,16,,,,
120416_01,,con,classificando,25,0:4:02,242,0:4:18,258,65,,,,
120416_02,,exp,mis_jugetes,0,0:3:16,196,0:3:27,207,NA,x,,,
120416_03,,con,classificando,0,0:3:30,210,0:3:48,228,21,x,,,
120416_06,,con,classificando,3,0:3:12,192,0:3:28,208,11,,,,
120916_03,,con,orchestra,0,0:3:29,209,0:3:54,234,8,,,,
120916_05,,con,give_me_toy,2,0:3:15,195,0:3:22,202,15,,,,
121316_01,,con,give_me_toy,0,0:3:14,194,0:3:55,235,15,,,,
121516_01,,exp,orchestra,0,0:3:17,197,0:3:52,232,NA,,,,
121516_02,,exp,mis_jugetes,0,0:3:44,224,0:3:57,237,NA,,,,
121516_03,,exp,orchestra,0,0:3:20,200,0:3:56,236,12,,,,
121516_04,,exp,mis_jugetes,0,0:3:24,204,0:3:57,237,NA,,,,
