JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,28168,33396,"0","1","1",
1,34697,38184,"0","0","1",
2,40643,44536,"1","0","1",
3,47706,52363,"0","0","1",
4,56116,58982,"0","1","1",
5,64460,66899,"0","0","1",
6,70481,75523,"0","1","1",
7,95735,102342,"0","1","1",
8,115514,125706,"1","0","1",
9,141120,158673,"1","0","1",
10,159942,163166,"1","0","1",
11,166410,171048,"1","0","1",
12,174311,176888,"1","0","1",
13,179078,182582,"0","0","1",
14,183555,189492,"1","0","1",
15,190400,193725,"0","0","1",
