Coder_2.ordinal,Coder_2.onset,Coder_2.offset,Coder_2.code01,JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
,,,,0,1346,28885,"0","1","1",
,,,,1,28900,37222,"0","1","1",
,,,,2,44963,47974,"0","0","1",
,,,,3,48892,51918,"0","0","1",
,,,,4,54536,57523,"1","0","1",
,,,,5,60384,67246,"0","1","1",
,,,,6,74151,78162,"0","1","1",
,,,,7,78162,81668,"0","0","1",
,,,,8,82618,85646,"0","0","1",
,,,,9,94214,97458,"0","1","0",
,,,,10,101998,104384,"0","1","1",
,,,,11,105940,114237,"0","1","1",
,,,,12,115044,120766,"0","1","1",
,,,,13,124296,129558,"1","0","1",
,,,,14,129558,135388,"0","1","0",
,,,,15,135853,137768,"1","0","1",
,,,,16,142528,142528,"0","0","1",
,,,,17,143186,148409,"0","1","0",
,,,,18,149757,152762,"0","0","1",
,,,,19,154846,174386,"0","1","1",
,,,,20,174386,184408,"0","1","0",
,,,,21,185604,188632,"0","0","1",
,,,,22,190718,192678,"1","0","0",
,,,,23,197644,202981,"0","1","0",
