JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,15811,26818,"0","1","1",
1,27847,40443,"0","1","1",
2,41979,56661,"0","1","1",
3,62417,81628,"0","1","1",
4,82647,93303,"0","1","1",
5,102971,119102,"0","1","1",
6,119601,127874,"1","0","1",
7,135820,142272,"1","0","1",
8,154258,168844,"0","1","1",
9,169709,174343,"0","1","1",
10,176467,182295,"0","1","1",
11,195123,195877,"1","0","1",
12,195877,198154,"1","0","1",
13,198154,199983,"1","0","1",
14,199983,202640,"1","0","1",
15,202640,211044,"0","1","1",
16,211044,221627,"0","1","1",
