JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,4111,16592,"0","1","1",
1,18734,25044,"0","1","1",
2,26773,30160,"1","0","1",
3,33421,37944,"0","1","1",
4,47848,60869,"0","1","1",
5,61880,63036,"1","0","1",
6,65246,82432,"0","1","0",
7,84329,87448,"0","0","1",
8,89655,96152,"0","1","1",
9,98669,106420,"1","0","0",
10,107984,128221,"0","1","1",
11,128221,150076,"1","0","1",
12,151521,168049,"0","1","1",
13,170105,173102,"1","0","1",
14,179252,181220,"0","1","1",
15,183070,184380,"1","0","0",
16,184885,186800,"1","0","1",
17,194990,236061,"0","1","1",
