sid,condition,video,label,which_video,play_start,play_start_sec,play_stop,play_stop_sec,video_duration,video_duration_sec,verbalcue_start_sec,verbalcue_stop,comments,first event onset,last event offset
111517_2,exp,give_me_toy,1eA,m4v,0:2:57,177,0:6:04,364,0:9:08,548,177,x,,0:3:08,0:6:05
091318_2,exp,give_me_toy,1eA,mov,0:0:00,0,0:3:05,185,0:3:11,191,NA,,,0:0:06,0:2:42
101818_1,exp,give_me_toy,1eA,mov,0:0:00,0,0:3:03,183,0:3:10,190,NA,,,0:0:14,0:2:49
102618_5,exp,give_me_toy,1eA,mov,0:0:00,0,0:3:02,182,0:3:08,188,NA,,,0:0:02,0:2:46
110418_3,exp,give_me_toy,1eA,m4v,0:0:20,20,0:3:31,211,0:4:15,255,34,x,,0:0:39,0:3:30
110918_3,exp,give_me_toy,1eA,m4v,0:4:14,254,0:7:13,433,0:7:20,440,NA,x,,0:4:34,0:7:13
110918_4,exp,give_me_toy,1eA,m4v,0:2:32,152,0:5:32,332,0:5:37,337,154,x,you can start whenever,0:2:43,0:5:28
120117_2,exp,big or small,1eB,far.mov,0:2:30,150,0:5:31,331,0:5:46,346,150,x,,0:3:05,0:5:05
091818_2,exp,big or small,1eB,MOV,0:0:17,17,0:3:16,196,0:3:24,204,NA,x,,,
101818_4,exp,big or small,1eB,m4v,0:3:11,191,0:6:12,372,0:6:21,381,NA,,,,
110218_8,exp,big or small,1eB,mov,0:0:00,0,0:3:02,182,0:3:03,183,NA,x,,,
110818_1,exp,big or small,1eB,mov,0:0:00,0,0:3:02,182,0:3:12,192,NA,,,,
110918_6,exp,big or small,1eB,MOV and MPG,0:1:44,104,0:4:54,294,0:4:59,299,NA,,,,
113018_1,exp,big or small,1eB,MOV,0:2:43,163,0:5:42,342,0:5:48,348,NA,x,,,
082918_1,exp,puzzle,1eC,far.mov,0:0:00,0,0:3:08,188,0:3:14,194,NA,x,,,
091818_3,exp,puzzle,1eC,MOV,0:0:14,14,0:3:09,189,0:3:17,197,NA,x,start whenever,,
101818_5,exp,puzzle,1eC,m4v,0:0:03,3,0:3:15,195,0:3:26,206,NA,x,,,
110218_4,exp,puzzle,1eC,m4v,0:0:00,0,0:3:05,185,0:3:12,192,NA,,,,
110818_3,exp,puzzle,1eC,m4v,0:0:34,34,0:3:29,209,0:5:50,350,NA,,,,
113018_3,exp,puzzle,1eC,far.mov,0:0:00,0,0:3:01,181,0:3:04,184,7,x,"0:0:07 start whenever you're ready, but kid had toy in hand at 0:0:00 ",,
113018_4,exp,puzzle,1eC,MOV,0:2:45,165,0:5:47,347,0:5:42,342,NA,x,,,
121317_1,con,Hamlin,1cA,m4v,0:1:46,106,0:4:47,287,0:6:11,371,106,,,,
091118_8,con,Hamlin,1cA,MOV,0:0:00,0,0:3:08,188,0:3:15,195,NA,x,,,
083018_1,con,Hamlin,1cA,far.mov,0:0:00,0,0:3:08,188,0:3:13,193,NA,x,,,
091818_4,con,Hamlin,1cA,close.mov,0:0:00,0,0:3:00,180,0:3:03,183,NA,x,,,
